required_age,dlc_count,windows,mac,linux,price_cleaned,languagesupp_count,is_major_developer,cat_Achievements,cat_Multiplayer,cat_Coop,cat_ControllerSupport,cat_Workshop,cat_InAppPurchases,cat_SteamCloud,cat_SinglePlayer,genre_Indie,genre_Racing,genre_Sports,genre_Simulation,genre_Casual,genre_RPG,genre_Action,genre_FreeToPlay,genre_MassivelyMultiplayer,genre_Adventure,genre_Strategy,AGE_GROUP,is_positive
0,16,1,0,0,35,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1
0,2,1,0,1,44.99,27,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
17,0,1,0,0,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,16,1,1,0,19.99,20,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,51,1,0,0,19.99,10,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
0,27,1,0,0,39.99,18,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1
18,20,1,0,0,5.99,17,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,3,1
0,8,1,1,1,11.99,13,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
0,53,1,1,1,14.99,30,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,12,1,0,0,8.49,17,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
17,10,1,1,0,49.99,11,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0
17,10,1,1,0,9.99,11,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0
17,10,1,1,0,6.99,11,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
17,1,1,0,0,0,10,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,1,0,0,16,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
17,0,1,0,0,19.99,24,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,0,1,0,0,0,13,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
0,2,1,1,1,59.99,10,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
0,6,1,1,1,12.49,12,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0,19.99,13,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
17,5,1,1,0,34.99,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1
0,1,1,0,0,24.99,21,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,1,1,0,59.99,9,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,1,0,1,59.99,12,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,59.99,21,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,28,1,1,1,19.99,10,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,1,1,1,1,29.99,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,15,1,1,1,11.99,10,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,1,0,0,39.99,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
0,8,1,0,0,19.99,15,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1
0,0,1,0,0,24.99,21,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
0,5,1,1,1,0,10,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1
0,13,1,0,0,19.99,10,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
17,13,1,0,0,29.99,15,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2,1
